key,occurrences,candidateIds,sourceRecordIds,status
"template:1eso:fracciones-decimales:template-1cvvh31","3","[""cand-081f4307-3692-5865-83e7-f272b760f37e"",""cand-414a4fd6-32ea-5b5a-8462-fcf559aaba60"",""cand-a92c0e85-1e2e-5faa-93ab-a3b3ba6410f6""]","[""src-2d1dd7a5-aa87-5750-8d51-a5bf853b9fb7"",""src-7060d84d-346a-55c7-8182-4ad0dfca9aec"",""src-7eb4397d-61cc-54fa-83de-cf5ad121c2ca""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1dvwbak","2","[""cand-3069ecdd-fd36-57d2-a82c-f65fd99a39d3"",""cand-e3e0d663-147c-5bd6-8372-c78fe8d25334""]","[""src-be4879d6-5504-5438-91e1-36caf65426cc"",""src-cda24948-ddf7-5f1a-a359-948e4683a283""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1h5my0j","3","[""cand-1439545f-431a-5b94-8dc8-f921f402ad5d"",""cand-edd69c41-29da-5d88-a6d5-9c0aaa1606f6"",""cand-f05180d3-0726-5296-b3a8-c1535ed79f01""]","[""src-200d2b24-8f37-5ee1-8d39-495938815e94"",""src-c995fee2-d276-55a1-b670-9ae5c1ac0a75"",""src-1118bc95-6a11-5b18-b5b0-ea3253144b61""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1mst931","3","[""cand-8da5c91f-d85a-5152-a3b5-924f614c8cc2"",""cand-bd3662d2-479e-557e-8000-26faa056428b"",""cand-d3dcd88d-bfad-58e2-a362-bb1db0834819""]","[""src-544cbc8f-9c23-59f7-905c-46f5ca6b8a69"",""src-4ef23e56-ed1e-568e-a9a7-838b3852d242"",""src-676d8b50-42f5-5b13-b23d-681c9336180b""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1prw8ak","3","[""cand-2b1e1ae4-edaf-5754-af71-fdc6ebf24d19"",""cand-7032d724-efa9-582d-be95-736bd678b605"",""cand-dde38935-426f-5288-98d1-373332278fc0""]","[""src-99075e66-3503-5bc4-a90e-42c4037b673b"",""src-1b9c8e52-75c8-50bb-b3cd-facd6ef1e366"",""src-df85d36c-fd62-5cf0-93b5-e60bddbeb61e""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1thv9yq","4","[""cand-446f141c-76bc-5727-9666-622617244917"",""cand-8a9dff33-4c01-587c-8722-035318615998"",""cand-d9e24c9d-658f-530f-9744-95a2cfbe08af"",""cand-f3d470df-c277-5ff9-ba0a-b745a6621cd5""]","[""src-cceeb518-9c7c-5e40-bdaa-9441be3b1f2a"",""src-41ec4213-70dc-5cb3-8914-1336731ab158"",""src-3f93b480-fc57-5bdf-80f5-f96c1549efa4"",""src-8d0468e6-8a93-59fb-a768-0863a64589d1""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1ufrcwq","4","[""cand-09a3afd7-610b-5ca7-ac2d-20375a85e7a0"",""cand-8113b595-c442-5002-9003-4ff971f0da5c"",""cand-ab60a348-e8da-58b2-b5fb-62b5b964c8ab"",""cand-df0a41f3-4b76-5a5c-9b3e-bbb6a08c8df4""]","[""src-bae71dc4-90fd-5569-b8c8-1e555d478c4b"",""src-fa72a86c-dd5e-5a05-992e-fbc6c1bd94e5"",""src-724680c0-cd42-56f4-bde7-325e942b8260"",""src-47e8d8e7-a076-5fa5-9e97-e613655ecbbd""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-1y8wcmw","5","[""cand-30d55477-2b2c-5da9-9b16-cb00703a0a3e"",""cand-341bb9ca-da09-559e-9e86-543b68ef8825"",""cand-7b54d77f-d6e8-5688-955c-e04b5e280e8e"",""cand-9d9a3ba7-b49a-5506-8578-8115972850e0"",""cand-bf52dbae-ad64-59fb-9667-5ac84a828cff""]","[""src-6288bfdc-af94-541e-80da-151956a6966b"",""src-0c6b2986-d631-50d9-bf45-3e88445a338f"",""src-288216af-ff61-5b51-837b-ce491a5de04c"",""src-9cd09d47-bfd2-5147-81c2-b8d711410a63"",""src-8a00d6b6-64b1-5a9e-8180-1bcb78d19e41""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-b98z2b","3","[""cand-33e65496-2070-5b66-807a-70efca4c5ff1"",""cand-696e9e8e-d773-54b2-b3b5-8aff6f98a5b8"",""cand-818cfc3a-7429-5c35-89cc-6861a9192cc2""]","[""src-b26b5c09-7335-5a91-a10e-069e5f221d3f"",""src-cb707fdb-b8ff-54aa-a619-d7b1b45c5bdd"",""src-79694af6-ee43-59c9-ae77-b59c6f98ea31""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:fracciones-decimales:template-ep2a9l","3","[""cand-14246b62-19d5-5861-b450-10a2645d636c"",""cand-58d85113-c313-56f7-9629-de7f31008c42"",""cand-d6815025-17f0-5f0f-929a-12e1b5411b09""]","[""src-2c28bca2-5e4d-562e-aa30-b1249b191526"",""src-07bf706d-2db4-5dc7-b025-11b0a98960ed"",""src-6ccb84c2-6113-582f-811c-6ba1ec5c24b9""]","MATHEMATICAL_REVIEW_REQUIRED"
